Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
12/7/2005,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,10.8,34,NA,NA
12/8/2005,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,10.5,33.3,NA,NA
14-12-05,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,14.7,20.7,NA,NA
15-12-05,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,13,20,NA,NA
21-12-05,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,7.5,19,NA,NA
22-12-05,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,6,29.8,NA,NA
28-12-05,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,6.7,29,NA,NA
29-12-05,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,11.8,46.7,NA,NA
12/2/2005,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,14.8,27.5,NA,NA
12/3/2005,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,10.3,30.2,NA,NA
12/9/2005,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,14.7,22.7,NA,NA
12/10/2005,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,12.2,20.5,NA,NA
16-12-05,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,7.2,16.8,NA,NA
17-12-05,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,7.5,21.8,NA,NA
23-12-05,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.3,37.3,NA,NA
24-12-05,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,5,28,NA,NA
30-12-05,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,6.3,39,NA,NA
31-12-05,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,17.5,42.5,NA,NA
12/5/2005,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,11.3,21.3,NA,NA
12/6/2005,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,11.3,21.7,NA,NA
12/12/2005,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,4.7,17.3,NA,NA
13-12-05,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,7.5,14.3,NA,NA
20-12-05,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,11.5,32,NA,NA
26-12-05,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,5.7,18.2,NA,NA
27-12-05,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,5.8,22.8,NA,NA
1/4/2005,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,35.8,43.2,128,355
1/7/2005,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,33.7,40.7,423,NA
1/11/2005,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,32.2,41.7,122,NA
14-01-05,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,30,41.7,117,NA
18-01-05,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,29,39.8,84,NA
25-01-05,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,29.3,37.8,124,NA
2/1/2005,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,25.3,34.8,34,NA
2/4/2005,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,32.2,46.8,346,NA
2/8/2005,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,27.3,38.7,120,NA
2/11/2005,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,21.7,35.3,140,NA
15-02-05,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,32.7,42.7,111,NA
18-02-05,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,34,50,123,NA
22-02-05,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,30.2,40.8,58,NA
25-02-05,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,30.5,46.3,68,NA
3/1/2005,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,34.7,48,113,NA
3/4/2005,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,35.7,47.7,84,NA
3/9/2005,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,34.8,45.8,85,NA
15-03-05,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,28.3,40.3,134,NA
18-03-05,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,34.3,46.2,37,NA
21-03-05,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,31.8,42.3,74,NA
24-03-05,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,37,47.7,87,NA
29-03-05,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,29.7,41.5,367,NA
4/1/2005,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,29.7,42.3,335,NA
4/5/2005,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,35.3,45.8,220,NA
4/12/2005,Maharashtra,Chandrapur,M.I.D.C.,Industrial Areas,35.5,47.2,281,NA
