Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
700,1/1/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,135,NA
700,1/10/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",5,6,104,NA
700,14-01-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,140,NA
700,15-01-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,10,140,NA
700,21-01-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,10,141,NA
700,22-01-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,8,131,NA
700,28-01-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,135,NA
700,29-01-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,137,NA
700,2/9/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,7,108,NA
700,2/12/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,8,120,NA
700,18-02-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,138,NA
700,19-02-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,140,NA
700,25-02-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,141,NA
700,26-02-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,10,141,NA
700,3/9/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,7,107,NA
700,3/12/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,8,123,NA
700,4/2/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,138,NA
700,4/11/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,7,118,NA
700,5/2/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,138,NA
700,5/8/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,8,96,NA
700,5/11/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,7,117,NA
700,6/8/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,8,101,NA
700,7/1/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,137,NA
700,7/10/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,6,105,NA
700,8/1/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,138,NA
700,8/10/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,7,104,NA
700,13-08-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,8,106,NA
700,19-08-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,7,92,NA
700,20-08-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,7,90,NA
700,9/9/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,8,111,NA
700,9/12/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,8,122,NA
700,16-09-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,8,119,NA
700,17-09-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,8,113,NA
700,23-09-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,7,114,NA
700,24-09-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,7,117,NA
700,30-09-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,7,114,NA
700,10/9/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,8,111,NA
700,10/12/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,8,125,NA
700,14-10-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,7,107,NA
700,15-10-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,7,109,NA
700,21-10-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,7,112,NA
700,22-10-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,7,113,NA
700,28-10-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,7,114,NA
700,29-10-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,6,115,NA
700,11/2/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,139,NA
700,11/11/2013,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,7,121,NA
700,18-11-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,7,123,NA
700,19-11-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,7,125,NA
700,25-11-13,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,7,124,NA
